order_id,passenger_price,recommended_price,price_increase_percent,is_done
7857734847,150.0,210,+40.0%,cancel
7857734885,150.0,210,+40.0%,cancel
7857735442,200.0,280,+40.0%,cancel
7857736090,150.0,210,+40.0%,cancel
7857736393,400.0,630,+57.5%,cancel
7857736749,150.0,210,+40.0%,cancel
7857736895,400.0,700,+75.0%,cancel
7857737857,200.0,280,+40.0%,cancel
7857738717,150.0,210,+40.0%,cancel
7857738812,200.0,280,+40.0%,done
7857739897,250.0,340,+36.0%,cancel
7857740413,250.0,340,+36.0%,done
7857741419,200.0,270,+35.0%,cancel
7857741419,200.0,270,+35.0%,cancel
7857743800,300.0,460,+53.3%,cancel
7857743915,150.0,210,+40.0%,cancel
7857745415,240.0,320,+33.3%,cancel
7857745536,200.0,275,+37.5%,cancel
7857745536,200.0,275,+37.5%,cancel
7857745692,260.0,350,+34.6%,cancel
7857745692,260.0,350,+34.6%,cancel
7857746355,350.0,530,+51.4%,cancel
7857747305,1000.0,1300,+30.0%,cancel
7857752613,400.0,720,+80.0%,done
7857755025,200.0,270,+35.0%,cancel
7857755086,150.0,210,+40.0%,cancel
7857756874,250.0,340,+36.0%,done
7857758424,300.0,440,+46.7%,cancel
7857758512,250.0,340,+36.0%,done
7857760548,150.0,210,+40.0%,cancel
7857762210,300.0,530,+76.7%,cancel
7857767812,200.0,280,+40.0%,cancel
7857767812,200.0,280,+40.0%,done
7857768572,200.0,360,+80.0%,cancel
7857768765,350.0,520,+48.6%,cancel
7857769093,200.0,280,+40.0%,cancel
7857773853,300.0,405,+35.0%,done
7857777033,190.0,270,+42.1%,cancel
7857777200,200.0,280,+40.0%,cancel
7857777531,200.0,280,+40.0%,cancel
7857777596,1000.0,1300,+30.0%,cancel
7857777806,300.0,520,+73.3%,done
7857779181,200.0,280,+40.0%,cancel
7857779417,200.0,275,+37.5%,cancel
7857779417,200.0,275,+37.5%,cancel
7857780213,250.0,395,+58.0%,done
7857780265,250.0,420,+68.0%,done
7857780406,200.0,270,+35.0%,cancel
7857781541,200.0,270,+35.0%,cancel
7857781909,250.0,340,+36.0%,done
7857781914,200.0,360,+80.0%,cancel
7857782534,200.0,280,+40.0%,cancel
7857783744,200.0,270,+35.0%,cancel
7857783744,200.0,270,+35.0%,cancel
7857784043,200.0,280,+40.0%,cancel
7857785802,200.0,270,+35.0%,cancel
7857787280,300.0,440,+46.7%,done
7857787371,200.0,280,+40.0%,done
7857787595,150.0,210,+40.0%,cancel
7857787998,200.0,280,+40.0%,done
7857789261,150.0,210,+40.0%,cancel
7857789699,110.0,150,+36.4%,cancel
7857790263,200.0,280,+40.0%,cancel
7857790263,200.0,280,+40.0%,cancel
7857790527,200.0,280,+40.0%,cancel
7857791109,200.0,280,+40.0%,done
7857792369,500.0,730,+46.0%,done
7857792667,200.0,280,+40.0%,cancel
7857795600,340.0,460,+35.3%,done
7857798691,200.0,280,+40.0%,cancel
7857798946,350.0,510,+45.7%,done
7857803588,150.0,210,+40.0%,cancel
7857803714,200.0,275,+37.5%,cancel
7857804548,150.0,240,+60.0%,cancel
7857804548,150.0,240,+60.0%,cancel
7857807014,300.0,480,+60.0%,done
7857807497,200.0,280,+40.0%,cancel
7857810472,200.0,280,+40.0%,cancel
7857811517,350.0,530,+51.4%,done
7857812099,350.0,490,+40.0%,done
7857812256,300.0,455,+51.7%,done
7857812736,200.0,280,+40.0%,done
7857816325,200.0,275,+37.5%,cancel
7857819011,200.0,320,+60.0%,cancel
7857821189,200.0,320,+60.0%,cancel
7857821820,300.0,520,+73.3%,cancel
7857821820,300.0,520,+73.3%,cancel
7857823100,200.0,280,+40.0%,done
7857823376,200.0,280,+40.0%,done
7857823954,200.0,280,+40.0%,done
7857824921,150.0,210,+40.0%,cancel
7857825541,200.0,280,+40.0%,cancel
7857826013,200.0,280,+40.0%,cancel
7857826650,350.0,510,+45.7%,done
7857828562,200.0,280,+40.0%,cancel
7857830750,300.0,405,+35.0%,done
7857835559,250.0,340,+36.0%,done
7857835559,250.0,340,+36.0%,done
7857838108,250.0,340,+36.0%,cancel
7857841747,200.0,305,+52.5%,done
7857841747,200.0,305,+52.5%,done
7857842707,200.0,280,+40.0%,cancel
7857848871,200.0,270,+35.0%,done
7857848871,200.0,270,+35.0%,cancel
7857850240,150.0,210,+40.0%,cancel
7857851925,250.0,370,+48.0%,cancel
7857852265,150.0,210,+40.0%,cancel
7857852505,200.0,270,+35.0%,done
7857853428,200.0,315,+57.5%,done
7857855434,160.0,220,+37.5%,cancel
7857859215,200.0,290,+45.0%,cancel
7857860620,300.0,440,+46.7%,done
7857862057,150.0,210,+40.0%,done
7857865185,300.0,405,+35.0%,done
7857865185,300.0,405,+35.0%,done
7857866543,150.0,240,+60.0%,cancel
7857877208,300.0,370,+23.3%,done
7857877208,300.0,370,+23.3%,done
7857878246,150.0,250,+66.7%,done
7857878353,250.0,360,+44.0%,done
7857878353,250.0,360,+44.0%,cancel
7857881056,250.0,330,+32.0%,done
7857883843,150.0,195,+30.0%,cancel
7857893639,250.0,340,+36.0%,done
7857893639,250.0,340,+36.0%,cancel
7857894781,350.0,460,+31.4%,done
7857895677,300.0,490,+63.3%,done
7857896105,150.0,190,+26.7%,cancel
7857896396,150.0,230,+53.3%,cancel
7857901703,150.0,190,+26.7%,done
7857903345,200.0,250,+25.0%,done
7857904325,200.0,260,+30.0%,done
7857907190,250.0,310,+24.0%,done
7857909130,200.0,300,+50.0%,cancel
7857909200,150.0,210,+40.0%,cancel
7857909296,250.0,330,+32.0%,cancel
7857909665,150.0,190,+26.7%,cancel
7857909665,150.0,190,+26.7%,done
7857909865,500.0,620,+24.0%,done
7857909865,500.0,620,+24.0%,done
7857909896,150.0,190,+26.7%,done
7857910342,250.0,330,+32.0%,cancel
7857910394,510.0,630,+23.5%,done
7857910394,510.0,630,+23.5%,done
7857910678,150.0,200,+33.3%,cancel
7857911813,160.0,210,+31.2%,cancel
7857911813,160.0,210,+31.2%,done
7857913321,150.0,210,+40.0%,cancel
7857913748,150.0,210,+40.0%,cancel
7857913827,160.0,210,+31.2%,cancel
7857913827,160.0,210,+31.2%,cancel
7857914505,200.0,290,+45.0%,cancel
7857914976,300.0,400,+33.3%,done
7857915023,150.0,190,+26.7%,done
7857916094,150.0,190,+26.7%,cancel
7857919193,350.0,430,+22.9%,done
7857919710,200.0,260,+30.0%,cancel
7857920346,150.0,190,+26.7%,done
7857920557,150.0,190,+26.7%,cancel
7857921666,150.0,190,+26.7%,cancel
7857921666,150.0,190,+26.7%,cancel
7857923246,150.0,190,+26.7%,done
7857923263,150.0,190,+26.7%,done
7857923850,150.0,190,+26.7%,cancel
7857925824,150.0,210,+40.0%,cancel
7857925955,150.0,210,+40.0%,cancel
7857926735,200.0,270,+35.0%,done
7857926735,200.0,270,+35.0%,cancel
7857926735,200.0,270,+35.0%,cancel
7857926748,200.0,280,+40.0%,cancel
